t	L_x
16 250	9,94544
16 260	9,94932
16 270	9,94979
16 280	9,94624
16 290	9,94709
16 300	9,9471
16 310	9,9469
16 320	9,94729
16 330	9,94777
16 340	9,94808
16 350	9,95021
16 360	9,94624
16 370	9,94475
16 380	9,94747
16 390	9,94913
16 400	9,94731
16 410	9,94866
16 420	9,94765
16 430	9,94638
16 440	9,94701
16 450	9,94691
16 460	9,9476
16 470	9,9495
16 480	9,94783
16 490	9,94641
16 500	9,94807
16 510	9,94655
16 520	9,94562
16 530	9,94901
16 540	9,9498
16 550	9,94745
16 560	9,94713
16 570	9,94628
16 580	9,94706
16 590	9,94841
16 600	9,94742
16 610	9,94796
16 620	9,95013
16 630	9,94704
16 640	9,94449
16 650	9,94772
16 660	9,94922
16 670	9,94834
16 680	9,94822
16 690	9,94746
16 700	9,94743
16 710	9,94772
16 720	9,94611
16 730	9,94727
16 740	9,95049
16 750	9,94855
16 760	9,9466
16 770	9,94749
16 780	9,94706
16 790	9,9464
16 800	9,94899
16 810	9,94892
16 820	9,94863
16 830	9,94739
16 840	9,94595
16 850	9,94667
16 860	9,94928
16 870	9,94739
16 880	9,94811
16 890	9,94982
16 900	9,94761
16 910	9,94523
16 920	9,94714
16 930	9,94861
16 940	9,94919
16 950	9,94869
16 960	9,94674
